Station_Name,GroupName,Owner_Name,Operators_Name,Connection_Type,Generation_Type,Operating_Capacity,Fuel_Name,Primary_Efficiency,Secondary_Fuel,Secondary_Efficiency,Date_Commissioned,Year,Installed_Capacity,Max_Unit_Size,Typical_Annual_GWh,Generating_Units,Thermal_Operating_Stockpile,Hydro_Max_m3_Storage,Hydro_Max_GWh_Storage,Node_Name,Region_Name,Island_Name,Comments,Decommission_Date,Data_Source,GroupOrder,CDSName
Hinemaiaia B,Hinemaiaia Hydro Scheme,Trustpower,Trustpower,Embedded,Hydro,1.35,Hydro,0,Not Applicable,0,1966,1966,1.35,1.35 MW,6,,,0,,WRK0331,WTO - Waikato,NI - North Island,"Situated some 3km below the HC Station, the HB Station Dam is a 12 metre high arch dam in a narrow ignimbright gorge with a 75m long spillway weir adjacent. The 12.1 hectare lake provides independent storage from the HB station giving 7 hours storage at mean flow.  From the intake structure with its gate and intake screen 360 metres of concrete conduit, 2.3 metres in diameter, and 168 metres of steel penstock conducts the water to the HB Power Station which houses a horizontal Francis turbine driving a 1350kW induction generator.",," www.trustpower.co.nz,EL Database,Electricity Commission,EMS (Reconciliation Manager List)",,GEN.Hydro.Hinemaiaia
Hinemaiaia C,Hinemaiaia Hydro Scheme,Trustpower,Trustpower,Embedded,Hydro,2.85,Hydro,0,Not Applicable,0,1982,1982,2.85,2.85 MW,13,,,0,,WRK0331,WTO - Waikato,NI - North Island,"The Hinemaiaia C dam has been built 2km down river from the HA Power Station in a very narrow ignimbright gorge some 27 metres deep. The lower section of the dam extends horizontally between the gorge walls while the the upper section has been designed as a buttressed wall. An ogee spillway has been incorporated into the dam structure to discharge flood waters and the weight counterbalanced radial gate controlling the impound waters self adjusts to spill flood waters. The 2 hectares of water confined in the lake provide negligible storage and the HC Station is operated in tandem with HA Station.",," www.trustpower.co.nz,EL Database,Electricity Commission,EMS (Reconciliation Manager List)",,GEN.Hydro.Hinemaiaia
Hokitika Diesel,,Trustpower,Trustpower,Embedded,Thermal,3.3,Diesel,0,Not Applicable,0,,,3.3,3.3 MW,0.3,,,0,,KUM0661,WEC - West Coast,SI - South Island,GWh and MW data estimated from Centralised Dataset. Reconciliation Manager generation end date 31/08/2007 ,,"EMS (Reconciliation Manager List), CDS",,GEN.Thermal.Hokitika
"Hornby, Christchurch",,Ravensdown Fertiliser Co-op,Meridian Energy,Embedded,Thermal,0.7,Unknown,0,Not Applicable,0,,,0.7,0.7 MW,1,,,0,,ISL0331,CAN - Canterbury,SI - South Island,GWh and MW data from Centralised Dataset 2006 calendar year,,"EMS (Reconciliation Manager List), CDS",,GEN.Thermal.Christchurch.Islington.Fertiliser
Horotiu Landfill,,Green Energy,WEL Networks,Embedded,Other,0.9,Biogas,0,Not Applicable,0,2004,2004,0.9,0.9 MW,7,,,0,,TWH0331,WTO - Waikato,NI - North Island,"It was expected that the landfill would be shut in 2006, but would to continue to produce gas for another 20 years",, www.bioenergy.org.nz,,No current series
Horseshoe Bend,Teviot Hydro Scheme,Pioneer Generation,Trustpower,Partially Embedded,Hydro,4.3,Hydro,0,Not Applicable,0,,,4.3,4.3 MW,23,,,0,,CYD0331,OTG - Otago/Southland,SI - South Island,"Horseshoe Bend 23 annual GWh from Pioneer Generation fact sheet published on Central Lakes Trust website - based on Teviot total scheme 78 Gwh, with 55 under Teviot and the remaining 23 under Horseshoe Bend based on MW capacity",,"Electricity Commission,EMS (Reconciliation Manager List),www.centrallakestrust.org.nz",1,GEN.Hydro.HorseshoeBend
Horseshoe Bend Wind,,Pioneer Generation,Pioneer Generation,Embedded,Wind,2.25,Wind,0,Not Applicable,0,2009,2009,2.25,0.75 MW,8,3 x 0.75 MW,,0,,CYD0331,OTG - Otago/Southland,SI - South Island,Situated adjacent to the Horseshoe Bend Hydro station the wind project consists of three 750kW NEG Micon wind turbines giving a maximum output of 2.25MW.  The turbines have 45m high steel tubular towers and 44m diameter rotors giving an overall height of 69m., , www.pioneergen.co.nz,,No current series
Huntly,,Genesis Energy,Genesis Energy,Grid Connected,Thermal,500,Coal_NI,10300,Gas,10500,1983,1983,1000,250 MW,2850,4 x  250 MW,,0,,HLY2201,WTO - Waikato,NI - North Island,"Each unit is capable of burning coal, natural gas or a combination of the two. Annual output of 5695GWh has been estimated based on actual output 2005-2006 calendar years less estimated Huntly p40 (total output for whole Huntly 2005+6 = 6030 GWh per annum average).Unit 4 was mothballed in December 2012. A second unit was mothballed late 2013, at which point Unit 4 was decommissioned.",," www.genesisenergy.co.nz,EL Database,PB 'Thermal & Geothermal Generation Capabilities',Electricity Commission,EMS (Reconciliation Manager List)",,GEN.Thermal.Huntly
Huntly e3p,,Genesis Energy,Genesis Energy,Grid Connected,Thermal,400,Gas,7200,Not Applicable,0,2007,2007,400,400 MW,2410,,,0,,HLY2202,WTO - Waikato,NI - North Island,Annual output of 2410 GWh has been estimated based on same utilisation as Otahuhu B,, www.genesisenergy.co.nz,,GEN.Thermal.Huntly
Huntly p40,,Genesis Energy,Genesis Energy,Grid Connected,Thermal,48,Gas,9800,Distillate,9600,Jun 2004,2004,48,48 MW,335,,,0,,HLY2202,WTO - Waikato,NI - North Island,Annual output of 335GWh has been estimated based on 80% utilisation,," www.genesisenergy.co.nz,EL Database,PB 'Thermal & Geothermal Generation Capabilities',Electricity Commission,EMS (Reconciliation Manager List), ACS data",,GEN.Thermal.Huntly
Indevin,,Indevin,Trustpower,Embedded,Backup generation,0,Diesel,0,Not Applicable,0,,,0,0 MW,0,,,0,,BLN0331,NEL - Nelson/Marlbourough,SI - South Island,,,"EMS (Reconciliation Manager List), CDS",,GEN.Thermal.Blenheim.CloudyBay.Indevin
Iwitahi,,Radio New Zealand,Trustpower,Embedded,Unknown,0.3,Unknown,0,Not Applicable,0,,,0.3,0.3 MW,0,,,0,,WRK0331,WTO - Waikato,NI - North Island,GWh and MW data from Centralised Dataset 2006 calendar year,,"EMS (Reconciliation Manager List), CDS",,GEN.Unknown.Iwitahi
Jackson Estate,,Jackson Estate,Trustpower,Embedded,Backup generation,0.2,Diesel,0,Not Applicable,0,,,0.2,0.2 MW,0,,,0,,BLN0331,NEL - Nelson/Marlbourough,SI - South Island,GWh and MW data from Centralised Dataset,,"EMS (Reconciliation Manager List), CDS",,GEN.Thermal.Blenheim.Riverlands.Jackson
Kaimai 5,Kaimai Hydro Power Scheme,Trustpower,Trustpower,Embedded,Hydro,0.35,Hydro,0,Not Applicable,0,1982,1982,0.35,0.35 MW,2,1 x 0.35 MW,,0,,TGA0331,BOP - Bay Of Plenty,NI - North Island,,," www.trustpower.co.nz,EL Database,Electricity Commission,EMS (Reconciliation Manager List)",,GEN.Hydro.Kaimai.1
Kaitawa,Waikaremoana,Genesis Energy,Genesis Energy,Grid Connected,Hydro,36,Hydro,1.006,Not Applicable,0,1948,1948,36,18 MW,91,2 x 18 MW,,0,,TUI1101,HBY - Hawkes Bay,NI - North Island,"The Waikaremoana Hydro Scheme is located between the remote Te Urewera National Park and Wairoa. The scheme includes the Kaitawa (36MW), Tuai (60MW), and Piripaua (42MW) hydro stations, and is centrally controlled from Tuai. Water from Lake Waikaremoana flows through the Kaitawa power station and into Lake Kaitawa before reaching the Tuai power station. From there it flows into the man-made Lake Whakamarino and through the Piripaua power station, before being released into the Waikaretaheke River and making its way to the sea.",," www.genesisenergy.co.nz, Electricity Commission,EMS (Reconciliation Manager List)",,GEN.Hydro.Waikaremoana
Kaniere Forks,Kaniere River,Trustpower,Trustpower,Embedded,Hydro,0.43,Hydro,0,Not Applicable,0,1911,1911,0.43,0.43 MW,4,,,0,,HKK0661,WEC - West Coast,SI - South Island,,," www.trustpower.co.nz,Electricity Commission,EMS (Reconciliation Manager List)",1,GEN.Hydro.Hokitika.Kaniere.Forks
Kapuni,,Bay of Plenty Energy,Bay of Plenty Energy,Grid Connected Cogen,Cogeneration,25,Gas,0,Not Applicable,0,1998,1998,25,10.3 MW,130,"2 x 10.3 MW, 1 x 3.2 MW, 1 x 1.5 MW",,0,,KPA1101,TRN - Taranaki,NI - North Island,"The plant provides heat and power for local industry. Some 490,000 tonnes of steam a year is also produced for use in the NGC Kapuni Gas Treatment Plant. This steam allows NGC's Benfield plants to strip carbon dioxide from Kapuni gas to maintain pipeline specifications. Steam excess to NGC's needs is transported via a dedicated 3 km long steam line to Lactose New Zealand's dairy processing plant. Units : Gas: 2 at 10.3 MW, steam: 1 at 3.2MW, 1 at 1.5 MW. The plant has a rated output of 25 MW. Of this 20 MW is exported to the national grid.The plant is owned by Bay of Plenty Energy and NGC as a joint venture",," www.toddenergy.co.nz,EL Database,PB 'Thermal & Geothermal Generation Capabilities',Electricity Commission,EMS (Reconciliation Manager List)",,NI.Kaponga.Import
Karapiro,Waikato Hydro Scheme,Mighty River Power,Mighty River Power,Grid Connected,Hydro,90,Hydro,0.265,Not Applicable,0,May 1948,1948,90,30 MW,525,,,14,,KPO1101,WTO - Waikato,NI - North Island,"As the last station on the Waikato River, Karapiro is required to release a minimum flow to maintain the water levels in the lower Waikato River. The required minimum flow means that at least two of the three generating units at Karapiro are typically operating at all times. Transmission lines connect the station with the national grid at Hamilton, as well as supplying sub-stations at Hinuera and Te Awamutu.",,"Electricity Commission,EMS (Reconciliation Manager List)",8,GEN.Hydro.Waikato.Karapiro
Kawerau - BOP,,Bay of Plenty Energy,Todd Energy,Partially Embedded,Geothermal,6.4,Geothermal,0,Not Applicable,0,1989,1989,6.4,3.8 MW,35,"2 x 1.3 MW, 1 x 3.8 MW",,0,,KAW0111,BOP - Bay Of Plenty,NI - North Island,"TG1, the first of two developments, was commissioned in 1989 and generates 2.56 MW of electricity. It has two turbines, each  driving a 1.3 MW generator. TG2, was commissioned in 1993 using two turbines to drive a single 3.8 MW generator.",," www.toddenergy.co.nz,PB 'Thermal & Geothermal Generation Capabilities',Electricity Commission,EMS (Reconciliation Manager List),www.nzgeothermal.org.nz",,GEN.Geothermal.Kawerau.Tarawera
Kawerau - CHH,,Carter Holt Harvey,Carter Holt Harvey,Embedded,Cogeneration,27,Wood_waste,0,Not Applicable,0,,,27,27 MW,118,,,0,,KAW0111,BOP - Bay Of Plenty,NI - North Island,"Steam turbine from wood waste, turbine has capacity of 27MW however due to a lack of steam has been generating only 13.5MW",,,,No current series
Kawerau - KA24,,Geothermal Developments,Geothermal Developments,Embedded,Geothermal,8.3,Geothermal,0,Not Applicable,0,Sep 2008,2008,8.3,8.3 MW,70,,,0,,KAW0111,BOP - Bay Of Plenty,NI - North Island,,, www.nzgeothermal.org.nz,,No current series
Kawerau - TOPP 1,,Norske Skog Tasman,Norske Skog Tasman,Embedded,Geothermal,25,Geothermal,,Not Applicable,0,Dec 2012,2012,25,25 MW,210,,,0,,KAW0112,BOP - Bay Of Plenty,NI - North Island,,, www.nzgeothermal.org.nz,,No current series
Kawerau - TPP,,Norske Skog Tasman,Norske Skog Tasman,Grid Connected Cogen,Cogeneration,37,Gas,0,Not Applicable,0,1966,1966,37,18.7 MW,271,"1 x 10 MW, 1 x 8 MW, 1 x 18.7 MW",,0,,KAW0112,BOP - Bay Of Plenty,NI - North Island,,," PB 'Thermal & Geothermal Generation Capabilities',Electricity Commission,EMS (Reconciliation Manager List)",,No current series
Kawerau Geothermal,,Mighty River Power,Mighty River Power,Grid Connected,Geothermal,100,Geothermal,0,Not Applicable,0,2008,2008,100,100 MW,800,1 x 100 MW,,0,,KAW1101,BOP - Bay Of Plenty,NI - North Island,Commissioned in November 2008,,EMS (Reconciliation Manager List),,GEN.Geothermal.Kawerau.Main
Kew Hospital,,Kew Hospital,Trustpower,Embedded,Unknown,0,Unknown,0,Not Applicable,0,,,0,0 MW,0,,,0,,INV0331,OTG - Otago/Southland,SI - South Island,GWh and MW data from Centralised Dataset 2006 calendar year,,"EMS (Reconciliation Manager List), CDS",,GEN.Unknown.Invercargill.Hospital
Kinleith,,Genesis Energy,Carter Holt Harvey,Grid Connected Cogen,Cogeneration,28,Wood_waste,0,Gas,11000,1998,1998,28,28 MW,250,,,0,,KIN0112,WTO - Waikato,NI - North Island,"Maintained by Carter Holt Energy. This plant is located at the Carter Holt Harvey Pulp and Paper Plant at Kinleith, Tokoroa. It is fuelled by wood waste biomass supplemented as necessary with gas. The waste wood is a combination of bark, sawdust and chips, mainly pine with some eucalyptus. New Zealand biomass fuel is considered a renewable energy because it can be replenished by new plantations. The fuel is burnt in a boiler to produce steam for a 28MW steam turbine and for the pulp and paper mill. The bulk of the electricity generated is used on site. Carter Holt Harvey and Genesis Energy work closely to ensure a reliable steam supply for this major wood-processing site. The plant is owned by Genesis Energy, and Carter Holt Harvey operate and maintain the plant under contract to Genesis Energy. Engineering support for the plant is provided by the Genesis Energy engineering team based at Huntly Power Station. Total capacity is 28MW about 11% is from natural gas (about 3 MW) the rest is generated from Wood (about 25MW).",," www.genesisenergy.co.nz,EL Database,PB 'Thermal & Geothermal Generation Capabilities',Electricity Commission,EMS (Reconciliation Manager List)",,GEN.Thermal.Kinleith
"Kiwi Dairy, Hawera (Whareroa)",,Todd Energy,Todd Energy,Grid Connected Cogen,Cogeneration,69.6,Gas,9300,Distillate,0,1996,1996,69.6,26 MW,180,"4 x 10.9 MW, 1 x 26 MW",,0,,HWA1102,TRN - Taranaki,NI - North Island,"The Kiwi Cogeneration Station is located onsite at Fonterra's factory in Hawera, Taranaki and first entered production in 1996 as a gas-driven twin 10 MW turbine. A further two 10 MW turbines were later installed in conjunction with a 26 MW back pressure steam turbine. Gas is fed directly from the Kapuni production station, 22 kilometers, away via a dedicated pipeline. Note : Generation is metered at HWA1102 KIWI GG. For reconciliation generation is split equally between two buses HWA1102 TODD GG and HWA1102 MERI GG",," www.toddenergy.co.nz,EL Database,PB 'Thermal & Geothermal Generation Capabilities',Electricity Commission,EMS (Reconciliation Manager List)",,NI.Hawera.110KV.Whareroa.Import
Kongahu,,Buller Electricity,Simply Energy,Embedded,Unknown,0,Unknown,0,Not Applicable,0,,,0,0 MW,0,,,0,,ORO1101,WEC - West Coast,SI - South Island,,,EMS (Reconciliation Manager List),,GEN.Unknown.Kongahu
Kourarau,,Genesis Energy,Genesis Energy,Partially Embedded,Hydro,0.95,Hydro,0,Not Applicable,0,1923,1923,0.95,0.7 MW,2,,,0,,MST0331,WEL - Wellington,NI - North Island,"The Kourarau Power Scheme has an installed generating capacity of 1100 KW, however, generation rarely exceeds 900 KW. The scheme was designed to meet the generating needs of some 235 consumers. The Kourarau Power Scheme does not feed directly into the national grid. The electricity is distributed throughout the Wairarapa area. Each station is fed by a small artificial reservoir formed by the damming of Kourarau Stream. Between each reservoir and the associated power station are sections of pipeline and penstocks that take water from the reservoir to a power station. Water from the Lower Power Station is discharged back into the natural channel of the Kourarau Stream. The Upper Dam and Reservoir were formed in 1925 by the damming of Kourarau Stream with an earth dam. The reservoir covers approximately 15 hectares. Water from the upper reservoir is taken through the Upper Power Station at a maximum rate of 290 litres per second. The upper reservoir has a normal operating range of 650 mm between minimum level and the spillway crest. During floods water that cannot be taken into the power station flows over the spillway and into the natural channel of Kourarau Stream. The Upper Power Station is a 200 KW (actual generator rating 250KW) station that uses a maximum flow of 290 litres per second to generate electricity. Water enters the Upper Power Station from the Upper Reservoir via a 785 metre long pipeline and single penstock system. A surge chamber is situated between the penstock and the pipeline to relieve pressure from the system that builds up due to fluctuating flows and generation patterns. The Lower Reservoir is 1.4 hectares in area and located downstream of the confluence of the Kourarau Stream and Sailormans Creek. The reservoir is formed by an earth dam, approximately 4 metres in height. Water enters the lake from the Upper Power Station tailrace and from the Kourarau Stream, including the flow from Sailormans Creek. The upper level of the lake is controlled by a fixed weir concrete-lined spillway. During floods, any water that cannot pass through the Lower Power Station, via the intake, flows over the spillway down the natural channel of Kourarau Stream. From the Lower Reservoir, water passes through a single 1182-metre pipeline to a surge tower. The pipeline then splits into two penstocks that carry water a further 2136 metres to the Lower Power Station. Water enters the two penstocks at a maximum rate of 900 litres per second. The Lower Power Station is a 900 KW station (actual generator rating 700 KW) situated adjacent to Kourarau Stream. Water then passes through a short tail-race before being discharged back into Kourarau Stream.",,"Electricity Commission,EMS (Reconciliation Manager List)",,GEN.Hydro.Kourarau
Kowhai,Teviot Hydro Scheme,Pioneer Generation,Pioneer Generation,Partially Embedded,Hydro,1.9,Hydro,0,Not Applicable,0,2010,2010,1.9,1.9 MW,5.5,,,0,,CYD0331,OTG - Otago/Southland,SI - South Island,The station has a maximum generating capacity of 1.9MW and will produces an estimated 5.5GWh of energy each year. The site of the power station is approximately 3.5km east of Roxburgh adjacent to the Teviot Irrigation Company (TIC) Intake Weir on the Teviot River.  The pipeline and penstock associated with the power station runs from the Marslin Dam some 1.5 km upstream.,, www.pioneergen.co.nz,,No current series
Kumara,Dillmans Hydro Power Scheme,Trustpower,Trustpower,Embedded,Hydro,6.5,Hydro,0,Not Applicable,0,1928,1928,6.5,6.5 MW,30,,,0,,KUM0661,WEC - West Coast,SI - South Island,"This scheme had its beginnings in 1927, with power being generated for the first time in 1928. The scheme today consists of the Duffers Power Station, fed by races that in turn feed into the Kawhaka Creek, downstream artificial lake storage that in turn feeds the Dillmans Power Station, and the Kumara Power station fed by a race from Dillmans. With heads of 13 metres at Duffers, 46 metres at Dillmans and 78 metres at Kumara, and capacities of 500 kW, 3,500 kW and 6,500 kW respectively, the scheme has an average annual output of 47.9 GWh.",,"Electricity Commission,EMS (Reconciliation Manager List)",,GEN.Hydro.Kumara.Kumara
Kuratau,,King Country Energy,King Country Energy,Embedded,Hydro,6,Hydro,0,Not Applicable,0,1962,1962,6,3 MW,30,2 x 3 MW,,0,,ONG0331,CEN - Central,NI - North Island,"Water is channeled down an open canal to a top screen with an earthquake gate from lake Kuratau. The two penstock pipes are both constructed from concrete until the surge chamber, from there on they are steel, each one feeds it's own turbine. Station Statistics: Location: Hydro Rd, Kuratau. Head:64 metres. Turbines: Boving Horizontal Francis (x 2), Generator:2 x ASEA , 3 MW at 600 rpm. Station Mean Output: 30 GWh",," www.toddenergy.co.nz,EL Database,EMS (Reconciliation Manager List)",,GEN.Hydro.Kuratau
Lake Grassmere,,Energy3,Meridian Energy,Embedded,Wind,0.66,Wind,0,Not Applicable,0,2014,2014,0.66,0.66 MW,6,1 x 0.66 MW,,0,,BLN0331,NEL - Nelson/Marlbourough,SI - South Island,Annual output estimated based on 40% utilisation,, www.windenergy.org.nz/lake-grassmere,,No current series
Lloyd Mandeno,Kaimai Hydro Power Scheme,Trustpower,Trustpower,Embedded,Hydro,15.6,Hydro,0,Not Applicable,0,1972,1972,15.6,7.8 MW,70,2 x 7.8 MW,,0,,TGA0331,BOP - Bay Of Plenty,NI - North Island,"Lloyd Mandeno is the most up-stream station in the Kaimai scheme. A lake has been formed by building a 29m earth dam across the Mangaonui valley, this creates the main ponding reservoir for the station. The Lake has a surface area of 8.1ha and an operating range of 3m. There are 9 km of diversion tunnels in this part of the scheme. Water flows from the lake into the canal through a feed tunnel that is regulated to maintain a constant water level in the canal and constant head on the machines. In the power station there are two sets of turbines and generators, each producing 7,800kW at 11,000 volts. Operating speed is 750rpm and each set uses 6.1 cubic metres per second at full load.",," www.trustpower.co.nz,Electricity Commission,EMS (Reconciliation Manager List)",,GEN.Hydro.Kaimai.1
Lower Mangapapa,Kaimai Hydro Power Scheme,Trustpower,Trustpower,Embedded,Hydro,6,Hydro,0,Not Applicable,0,1979,1979,6,6 MW,17,,,0,,TGA0331,BOP - Bay Of Plenty,NI - North Island,"The Lower Mangapapa Power Station is situated on the right bank of the Mangapapa River 4km further downstream from Lloyd Mandeno. The station was constructed after the summer of 1976 and was completed in the April of 1979. This section has a concrete arch dam built across a narrow gorge in the Mangapapa River. The dam is 26m high forming a lake that extends upstream to the Lloyd Mandeno station. Water is taken from the lake through a 3m diametre concrete lined tunnel 400 m in length. A steel tunnel outlet into the station divides to supply two horizontal turbines which drive a centrally located 6,000 kW induction generator. The combined output of the turbines is 6250kW at 32.8m head. The unit has an operating speed of 375rpm and a water consumption of 21.5 cubic metres per second. The average energy produced is 16.7 GWh per year.",," www.trustpower.co.nz,EMS (Reconciliation Manager List)",,GEN.Hydro.Kaimai.1
Lulworth Wind,,Energy3,Meridian Energy,Embedded,Wind,1,Wind,0,Not Applicable,0,2011,2011,1,0.25 MW,3.2,4 x 0.25 MW,,0,,BLN0331,NEL - Nelson/Marlbourough,SI - South Island,"Energy3 installed four secondhand Micon 530 wind turbines at the site. The turbines have a capacity of 250kW each, giving the wind farm a capacity of 1 MW.
",, windenergy.org.nz,,No current series
Mahinerangi,,Trustpower,Trustpower,Embedded,Wind,36,Wind,0,Not Applicable,,2011,2011,36,3 MW,112,12 x 3 MW,,0,,HWB0331,OTG - Otago/Southland,SI - South Island,Mahinerangi is currently metered as part of Waipori local output.,, www.trustpower.co.nz,,SI.Dunedin.HalfwayBush.Local
Manapouri,,Meridian Energy,Meridian Energy,Grid Connected,Hydro,850,Hydro,1.5,Not Applicable,0,1972,1972,850,120 MW,5100,,,382,,MAN2201,OTG - Otago/Southland,SI - South Island,"The power station is located underground within Fiordland National Park. The turbines, generators and other equipment are contained in the powerhouse located in an underground cavern. The cavern was cut from solid rock and is 111 metres long, 18 metres wide and 39 metres high. Vehicles can drive down to the powerhouse through an access tunnel which is more than two kilometres long. It descends at a 1-in-10 gradient, and is wide enough to allow vehicles to pass. The powerhouse can also be reached by an elevator which descends 220 metres (equivalent to a 70-storey building) in two-and-a-half minutes. Uses 178 metre height difference between Lake Manapouri and the sea at Deep Cove. Once water has passed through turbines it leaves the station through two 10 kilometre-long tunnels to Deep Cove. The station was originally built with only one tailrace tunnel, but a second tunnel was commissioned in 2002. Reconditioning of the plant and the new tail race have resulted in an increase in maximum output, although actual output is constrained by resource management requirements.",," www.meridianenergy.co.nz,EL Database,Electricity Commission,EMS (Reconciliation Manager List),ACS data",,GEN.Hydro.Manapouri
Mangahao,,Todd Energy,Todd Energy,Grid Connected,Hydro,42,Hydro,2.299,Not Applicable,0,1924,1924,42,26 MW,136,"1 x 26 MW, 2 x 5.7 MW, 1 x 4 MW",,5,,MHO0331,CEN - Central,NI - North Island,"The water stored in the reservoirs formed by the two dams on the Mangahao river is brought by a 1.6km long tunnel to the third reservoir on the Tokomaru stream and then to the surge chamber by a 2.1km tunnel. The headwaters of the Mangahao River are a major tributary of the Manawatu River. The total catchment area of the scheme is 86 square kilometers in an area of high annual rainfall, which on average exceeds 3,700 millimeters. Location: East road, Shannon. Average Annual Output: 126 GWh, Total MW rating : 38 MW, Head 271 meters. Turbines Francis Type: 26 MW at 7250 rpm, Pelton-wheel Type:2 at 6 MW at 375 rpm Generators 1 machine of 28.9 MW at 11,000 volts, 2 machines of 6 MW at 11,000 volts. An addition mini hydro station added 4 MW in 2004. Mini Hydro Stats: Average Annual Output: 10 GWh, Total MW rating : 4 MW. King Country Energy, in conjunction with Todd Energy, acquired this generation plant in 1997. (50/50 joint venture). (As at 20/5/2012 ownership of this plant was to be fully transferred to KCE subject to regulatory and shareholder approval) ",," www.toddenergy.co.nz,EL Database,Electricity Commission,EMS (Reconciliation Manager List)",,GEN.Hydro.Mangahao
Mangahewa,,Todd Energy,Todd Energy,Embedded,Thermal,9,Gas,0,Not Applicable,0,Feb 2009,2009,9,9 MW,50,,,0,,HUI0331,TRN - Taranaki,NI - North Island,,,Todd Energy via email,,No current series
Mangapehi,,Clearwater Hydro,Mighty River Power,Embedded,Hydro,1.6,Hydro,0,Not Applicable,0,2008,2008,1.6,0.8 MW,5,2 x 0.8 MW,,0,,HTI0331,WTO - Waikato,NI - North Island,,,"EMS (Reconciliation Manager List), CDS, www.clearwaterhydro.co.nz",,GEN.Hydro.Mangapehi
Mangatangi Dam,,Watercare Services,Mighty River Power,Partially Embedded,Hydro,0.6,Hydro,0,Not Applicable,0,,,0.6,0.6 MW,5,,,0,,BOB0331,AKL - Auckland,NI - North Island,"At Mangatangi, power from the generator is used to run compressors that pump air into the dam water. Air is pumped into the dam water to reduce the risk of algae growing in the dam. At Waitakere, the generator powers the treatment plant.",,"Electricity Commission,EMS (Reconciliation Manager List)",,GEN.Hydro.Auckland.Mangatangi
Mangatawhiri,,Counties Power,Mighty River Power,Embedded,Hydro,0.2,Hydro,0,Not Applicable,0,,,0.2,0.2 MW,0.3,,,0,,BOB0331,AKL - Auckland,NI - North Island,GWh and MW data from Centralised Dataset 2006 calendar year,,"EMS (Reconciliation Manager List), CDS",,GEN.Hydro.Auckland.Mangatawhiri
Mangorei,,Trustpower,Trustpower,Embedded,Hydro,4.5,Hydro,0,Not Applicable,0,1906,1906,4.5,1.3 MW,21,"1 x 0.6 MW, 3 x 1.3 MW ",,0,,CST0331,TRN - Taranaki,NI - North Island,"Originally constructed in 1904 to use water from the Waiwakaiho River, the Mangorei Power Station first supplied power in 1906 - for street lighting in New Plymouth and 41 customers. A steady increase in demand for electricity resulted in plans to store water for generation purposes behind a dam across the Mangamahoe Stream, with work finally starting in 1930. Said at the time of it's completion in 1931 to be the highest earth dam in Australiasia, the 25 metre high dam supplies water via two tunnels to one 600kW and three 1300kW horizontal turbines. With a total capacity of 4,500 kW, the Mangorei power scheme has an average annual output of 20.9 GWh.",," www.trustpower.co.nz,EL Database,Electricity Commission,EMS (Reconciliation Manager List)",,GEN.Hydro.Mangamahoe
Mansons Developments,,Mighty River Power,Mighty River Power,Embedded,Unknown,0,Unknown,0,Not Applicable,0,,,0,0.002 MW,0,,,0,,PEN1101,AKL - Auckland,NI - North Island,GWh and MW data from Centralised Dataset 2006 calendar year,,"EMS (Reconciliation Manager List), CDS",,GEN.Unknown.Auckland.Mansons.MountRoskill
Maraetai,Waikato Hydro Scheme,Mighty River Power,Mighty River Power,Grid Connected,Hydro,360,Hydro,0.498,Not Applicable,0,Feb 1971,1971,360,36 MW,885,,,0,,MTI2201,WTO - Waikato,NI - North Island,'The two power stations ( A + B) have the largest capacity of any of the stations of the Waikato hydro system. The generating units in the Maraetai B have sophisticated frequency control and time - error corrections equipment allowing this powerhouse to be used for frequency keeping - they respond to the ebb and flow of power on the national grid in order to maintain a constant current and voltage.,,"Electricity Commission,EMS (Reconciliation Manager List)",5,GEN.Hydro.Waikato.Maraetai
Maraetai Embedded,,Mighty River Power,Mighty River Power,Embedded,Hydro,0.1,Hydro,0,Not Applicable,0,,,0.1,0.1 MW,0,,,0,,WKM2201,WTO - Waikato,NI - North Island,GWh and MW data from Centralised Dataset 2006 calendar year,,"EMS (Reconciliation Manager List), CDS",,GEN.Hydro.Waikato.Maraetai.1KV
Marlborough Lines Diesel,,Marlborough Lines,Trustpower,Embedded,Thermal,9,Diesel,0,Not Applicable,0,,,9,9 MW,0,,,0,,BLN0331,NEL - Nelson/Marlbourough,SI - South Island,"Primarily backup/peak management plant with peak of 9 MW from CDS. Discountinued from June 2006 so assumed Gwh = 0. Marlborough Lines have indicated that they expect to purchase 1 MW of portable generation in the 2006/2007 year (2006 Annual Repor",,"Electricity Commission,EMS (Reconciliation Manager List), Marlborough Lines Annual Report 2006, CDS",,GEN.Thermal.Blenheim.33KV.NomadicDiesel.11KV
Marlborough Lines Diesel II,,Marlborough Lines,Trustpower,Embedded,Thermal,0,Diesel,0,Not Applicable,0,,,0,0 MW,0,,,0,,BLN0332,NEL - Nelson/Marlbourough,SI - South Island,Reconciliation Manager generation end date 31/08/2007,,"EMS (Reconciliation Manager List), CDS",,GEN.Thermal.Blenheim.33KV.NomadicDiesel.1KV
Marokopa Power Station,,Marakopa Generation,Contact Energy,Embedded,Hydro,0.1,Hydro,0,Not Applicable,0,,,0.1,0.1 MW,0.6,,,0,,HTI0331,WTO - Waikato,NI - North Island,GWh and MW data from Centralised Dataset 2006 calendar year,,"EMS (Reconciliation Manager List), CDS",,GEN.Hydro.Marokopa
