Station_Name,GroupName,Owner_Name,Operators_Name,Connection_Type,Generation_Type,Operating_Capacity,Fuel_Name,Primary_Efficiency,Secondary_Fuel,Secondary_Efficiency,Date_Commissioned,Year,Installed_Capacity,Max_Unit_Size,Typical_Annual_GWh,Generating_Units,Thermal_Operating_Stockpile,Hydro_Max_m3_Storage,Hydro_Max_GWh_Storage,Node_Name,Region_Name,Island_Name,Comments,Decommission_Date,Data_Source,GroupOrder,CDSName
Waihi Station,,Trustpower,Trustpower,Embedded,Hydro,4.7,Hydro,0,Not Applicable,0,1913,1913,4.7,2.35 MW,10.4,2 x 2.35 MW,,0,,WRA0111,HBY - Hawkes Bay,NI - North Island,,,"Electricity Commission,EMS (Reconciliation Manager List),www.waihi.co.nz",,GEN.Hydro.Waihi
Waihopai,,Trustpower,Trustpower,Embedded,Hydro,2.5,Hydro,0,Not Applicable,0,Aug 1927,1927,2.5,2 MW,11.8,,,0,,BLN0331,NEL - Nelson/Marlbourough,SI - South Island,"Originally of 1,000 kW capacity, and intended to supply the entire Marlborough province, the Waihopai scheme was expanded to meet growing demand for electricity thorugh the installation of diesel generating sets in 1930 and 1937. Plans to increase capacity during 1943 were blocked due to Government wartime import restrictions. In 1996 a new 2,000 kw generator and turbine were installed to supplement one of the existing 500 kW units. This and other upgrade work has seen the scheme's maximum output increase from 1,000kw to 2,500 kW, with an annual generation output of 11.8 GWh.",," www.trustpower.co.nz,Electricity Commission,EMS (Reconciliation Manager List)",,GEN.Hydro.Waihopai
Waipapa,Waikato Hydro Scheme,Mighty River Power,Mighty River Power,Grid Connected,Hydro,51,Hydro,0.143,Not Applicable,0,Nov 1961,1961,51,17 MW,242,3 x 17 MW,,0,,WPA2201,WTO - Waikato,NI - North Island,"As the smallest power station in the Waikato River hydro system, the role of Waipapa is to supplement the other stations during periods of heavy demand. At these times, the lake level fluctuates over a wide range. On other occasions, Waipapa is required to spill water past the station to accommodate upstream and downstream generation requirements. The volume of water flowing from the Maraetai station upstream, as well as the small reservoir size can create a 'bottleneck' in the Waikato hydro system. Capacity is normally 51MW, although under favourable hydrology conditions this may rise as high as 58.7MW (MRP website).",,"Electricity Commission,EMS (Reconciliation Manager List)",6,GEN.Hydro.Waikato.Waipapa
Waipori,,Trustpower,Trustpower,"Combination, Grid Connected/Embedded",Hydro,84,Hydro,0.36,Not Applicable,0,1902,1902,84,19 MW,178,,,0,,BWK1101,OTG - Otago/Southland,SI - South Island,"The scheme's development was commenced in 1902 by the Waipori Falls Electric Power Company, which in 1904 was purchased by Dunedin City Council. The first electricity generation occurred in 1907 and development of the hydro capacity of the Waipori River has been ongoing ever since. In 1998 TrustPower acquired the scheme from Dunedin City Council for $70 million. The Waipori hydro scheme is some 30 kilometres inland from Dunedin in the Lammerlaw Range. It comprises four individual dams and power stations that act in sequence with the powerhouses delivering output of 12 MW, 57 MW, 7 MW and 8 MW respectively as water descends down the Waipori River. The scheme is partially grid connected and partially embedded within the local line network. One of the units on the 2A station is switchable between the 33kv system (embedded) and the 110 kv system (31 MW is embedded, 34 MW is grid connected and 19MW can be switched betwen either). Grid connection bus is BWK1101 TRUS GG. Embedded bus is behind HWB0331. CDS output data is believed to be net of some local load.",," www.trustpower.co.nz,EL Database,Electricity Commission,EMS (Reconciliation Manager List)",,"SI.Dunedin.HalfwayBush.Local, SI.Berwick.Import"
Wairakei,,Contact Energy,Contact Energy,Grid Connected,Geothermal,161,Geothermal,0,Not Applicable,0,Nov 1958,1958,175,30 MW,1310,"6 x 11.2 MW, 3 x 30 MW, 1 x 4 MW, 1 x 14 MW ",,0,,WRK2201,WTO - Waikato,NI - North Island,"The Wairakei power plant is situated above a large geothermal system containing water at temperatures up to 240°C. Currently, about 5,000 tonnes per hour of fluid is taken from the reservoir. This is separated into roughly 1,500 tonnes per hour of steam and 3,500 tonnes per hour of water at a temperature of about 130°C. Dry steam is also taken from shallow production wells (up to 500 m depth) and piped directly to the turbines. The steam is directed towards the turbines through the network of pipes around the Wairakei steam field. Once steam has passed through the turbines it is condensed within 'direct contact' condensers. This cooling system uses water pumped from the adjacent Waikato River. After use, the cooling water and steam condensate is discharged back into the river. Gases found in the steam supply are pumped from the condenser and released to the air via gas stacks situated on the power station roof. The hot geothermal water is discharged into a system of drains (that lead to the Waikato River), or it is injected back into the ground. The Binary Plant uses heat energy in waste hot water to drive two 8 MW generators. However the binary plant needs about 2MW of power just to run its own pumps and fans so the overall generation is 14MW",,"EL Database,PB 'Thermal & Geothermal Generation Capabilities',Electricity Commission,EMS (Reconciliation Manager List),www.nzgeothermal.org.nz",,GEN.Geothermal.Wairakei
Wairau,Branch Hydro Scheme,Trustpower,Trustpower,Grid Connected,Hydro,7.2,Hydro,0,Not Applicable,0,May 1983,1983,7.2,7.2 MW,31,,,0,,ARG1101,NEL - Nelson/Marlbourough,SI - South Island,"Investigations into the feasibility of Branch River Power scheme began in 1978, and following a detailed investigation in 1980 finance was approved with construction beginning soon afterwards. Canal filling commenced in March 1983, with generation commencing at the Wairau Power House in June, and at Argyle two months later. A run of the river scheme with daily storage, the water first passes through the Argyle station of 3800kw capacity with a head of 21.9 meters. A 3385 meter canal then carries the water to the Wairau Power Station of 7200kw at a head of 41.3 metres. CDS output data is believed to be net of some local load.",," www.trustpower.co.nz,Electricity Commission,EMS (Reconciliation Manager List)",2,SI.Argyle.Import
Wairere Falls,,King Country Energy,King Country Energy,Embedded,Hydro,4.9,Hydro,0,Not Applicable,0,1963,1963,4.9,3.3 MW,18,,,0,,ONG0331,CEN - Central,NI - North Island,"The Mokau River has a catchment area of 580 square kilometers, dammed by a concrete dam rising 3.5 meters in height above the top of the falls. The original power station was commissioned in 1925 beside the Wairere Falls (turbine 1) with just one machine giving an output of 490 kilowatts. Later three more machines were added in 1938 (turbine 2), 1952 (turbine 3) and 1981 (turbine 4) with associated penstocks, buildings and tailraces.",," www.toddenergy.co.nz,Electricity Commission,EMS (Reconciliation Manager List), ACS data",,GEN.Hydro.Wairere
Wairoa,,Eastland Networks,Contact Energy,Embedded,Unknown,0.8,Unknown,0,Not Applicable,0,,,0.8,0.8 MW,0.2,,,0,,WRA0111,HBY - Hawkes Bay,NI - North Island,GWh and MW data from Centralised Dataset 2006 calendar year,,"EMS (Reconciliation Manager List), CDS",,GEN.Unknown.Wairoa
Wairua Falls,,Northpower,Meridian Energy,Embedded,Hydro,5,Hydro,0,Not Applicable,0,1978,1978,5,3 MW,22,,,0,,MPE0331,NIS - North Isthmus,NI - North Island,The station was upgraded from 3.6MW to 5MW in 2007. A 5 MW generator would give approximately 22 GWh p.a. (50% plant factor).,,"Electricity Commission,EMS (Reconciliation Manager List),www.northpower.com",,GEN.Hydro.Wairua
Waitaki,Waitaki Hydro Scheme,Meridian Energy,Meridian Energy,Grid Connected,Hydro,90,Hydro,0.162,Not Applicable,0,1935,1935,105,15 MW,500,7 x 15 MW ,,12,,WTK0111,OTG - Otago/Southland,SI - South Island,"It was constructed in two parts, starting with a cofferdam (a temporary dam used to hold water during construction) to divert water to the Otago (south) side of the river. The other part was built on the Canterbury (north) side of the river, with 11 sluice gates enabling water to flow through while the second section was being built on the Otago side. The station’s powerhouse was completed in 1934 after the dam was built. It was made of reinforced concrete and was 109 metres long. It was extended to 152 metres in the early 1950s to house the last set of new generators. The station’s first two generators were commissioned in 1935, and a third generator in 1940. Two more generators were installed in 1941 and 1949, bringing the station to its capacity of 75 MW. In 1952 the Pukaki and Tekapo water storage projects were finished, and the power station took advantage of the improved water flow. The station’s sixth and seventh generators – each 15 MW – were installed in 1954, and the station increased its capacity to the present-day level of 105 MW. 'The Waitaki is the last station of the system and must be operated to maintain the minimum flow requirements under the Waitaki Water Allocation Rules. In 2011 one of the units (Unit 3) was mothballed, bringing the operating capacity back down to 90 MW.",," www.meridianenergy.co.nz,EL Database,Electricity Commission,EMS (Reconciliation Manager List)",8,GEN.Hydro.Waitaki.Waitaki
